"subject","version","assignmentId","guess1","guess2","guess3","cc1","cc2","cc3","cc4","cc1pass","cc2pass","cc3pass","cc4pass","experienced","instructions_time","total_time","stamp","id"
"AV182SXSO370E","caus_thomas_fire_v6","3D4CH1LGEAUM4X8B08RDXFE564HG9M","0","0","0","50%","100%","10%","Math","1","1","1","0","Yes","161259","278914","2017-10-17 14:05:34","3678"
"ATUWQRSJAZQMH","caus_thomas_fire_v6","3R2UR8A0IAH0X677R7AZIR9P4TZXO9","0","0","0","50%","100%","10%","Math","1","1","1","1","No","111120","174695","2017-10-17 14:05:47","3679"
"A2JZP4AZI1RTG4","caus_thomas_fire_v6","3YWRV122CS05VAQWFLAG1YKLV6E8UP","0","0","0","50%","100%","10%","Math","1","1","1","1","Not sure","315670","344495","2017-10-17 14:05:51","3680"
"A1CM612SSQU5L","caus_thomas_fire_v6","3YOH7BII098P3QHXT0HONPVV4DIKVA","0","0","0","50%","100%","10%","Math","1","1","1","0","No","56745","98612","2017-10-17 14:05:52","3681"
"A1N3J21E6L4VVO","caus_thomas_fire_v6","3Q5ZZ9ZEVOGOAV0HEK28TMS5WPM585","0","0","0","50%","100%","10%","Math","1","1","1","1","Yes","61648","114801","2017-10-17 14:05:52","3682"
"A2SMUTM50TMJHG","caus_thomas_fire_v6","37UQDCYH6XW18BADA6SFJKQ9YTI7VR","0","0","0","50%","100%","90%","Math","1","1","1","1","Yes","74032","112555","2017-10-17 14:05:57","3683"
"A3G6L97AX9KR7F","caus_thomas_fire_v6","3DUZQ9U6SMPNR9U5Y9QQEBM5L7USVY","0","0","0","50%","100%","90%","English","1","1","1","1","Yes","156715","236697","2017-10-17 14:06:00","3684"
"A2AVYMFZ8GZPJ4","caus_thomas_fire_v6","3RU7GD8VPOUAMPX9CXHR8JXNZJTSPD","0","0","0","50%","100%","10%","English","1","1","1","1","No","119848","233658","2017-10-17 14:06:02","3685"
"AOB6ZJTDB416G","caus_thomas_fire_v6","3483FV8BEEK97KY63M3CB1T26K562J","0","0","0","50%","100%","10%","Math","1","1","1","1","Not sure","54961","97119","2017-10-17 14:06:06","3686"
"A2DFXQ3QVQ9ELH","caus_thomas_fire_v6","3NS0A6KXC491AOQO46LCA3GYL77GZ3","0","0","0","50%","100%","10%","Math","1","1","1","1","Yes","55277","85214","2017-10-17 14:06:09","3687"
"A20K80GWXI69Z7","caus_thomas_fire_v6","3JNQLM5FT4NRQ51DQQ9E0KBZWFUL26","0","0","0","50%","100%","90%","Math","1","1","1","1","No","90218","129009","2017-10-17 14:06:09","3688"
"A2E2UARVOVDR9Y","caus_thomas_fire_v6","3TPWUS5F892KZH5ERX5ML8116D9WCH","0","0","0","50%","100%","90%","English","1","1","1","1","No","351859","379826","2017-10-17 14:06:10","3689"
"A1WH32GYQOHIRQ","caus_thomas_fire_v6","3N4BPTXIO8TPQBSXOA7JR3TCQ69KUL","0","0","0","50%","100%","90%","Math","1","1","1","1","No","75746","121667","2017-10-17 14:06:19","3690"
"A38W9IO2CDPVNO","caus_thomas_fire_v6","3OVHNO1VE62YY4GX2GK44ID18FQDZP","0","0","0","50%","100%","90%","Math","1","1","1","1","No","278245","350294","2017-10-17 14:06:21","3691"
"A2LFT9N17HS9FX","caus_thomas_fire_v6","3IQ1VMJRYTLLU6V8E8Z31T32894A94","0","0","0","50%","100%","90%","English","1","1","1","0","No","41678","168256","2017-10-17 14:06:22","3692"
"A1M1TSMJB12177","caus_thomas_fire_v6","3MYYFCXHJ38L7R2ZJDVMG73PKC44GF","0","0","0","50%","100%","10%","Math","1","1","1","1","Not sure","62691","103373","2017-10-17 14:06:23","3693"
"A17V85U8PXS4LJ","caus_thomas_fire_v6","3II4UPYCOJ8PKCF6FK1RDP1X3C6DQW","0","0","0","50%","100%","90%","English","1","1","1","1","No","48559","124572","2017-10-17 14:06:24","3694"
"A1PE5AT62CBGS4","caus_thomas_fire_v6","33F859I566EJSMIJIYNR9LLW94YBHR","0","0","0","50%","100%","10%","English","1","1","1","1","No","55875","91726","2017-10-17 14:06:25","3695"
"AJ1VMW9NT7287","caus_thomas_fire_v6","33C7UALJVLZPMDZYDX0WQWFOK9H81Q","0","0","0","50%","100%","90%","Math","1","1","1","0","Yes","61505","115513","2017-10-17 14:06:29","3696"
"A2WOZPIFGD3RDK","caus_thomas_fire_v6","3XUHV3NRVKZH361AHOWE6ZL4Z8CH5W","0","0","0","50%","100%","90%","English","1","1","1","1","No","52563","89038","2017-10-17 14:06:31","3697"
"A2XTKDNUT24SE1","caus_thomas_fire_v6","31JLPPHS2UVOH80T7I3BBBKLXYZO31","0","0","0","50%","100%","90%","Math","1","1","1","1","No","71449","113514","2017-10-17 14:06:33","3698"
"A1POSVC6FSYWLW","caus_thomas_fire_v6","3Z2R0DQ0JHFDKZRL94MANPLFNIT2E0","0","0","0","50%","100%","50%","English","1","1","0","1","Yes","106514","216381","2017-10-17 14:06:42","3699"
"A2ZJAEL03VTZ8","caus_thomas_fire_v6","3LS2AMNW5FRGO96V5TF7OJDW7QBOQ2","0","0","0","50%","100%","90%","English","1","1","1","1","No","41737","67852","2017-10-17 14:06:43","3700"
"AMPBSSN039C35","caus_thomas_fire_v6","3LQ8PUHQFLTTFUWPO8F8V8P94UHIH6","0","0","0","100%","100%","100%","Math","0","1","0","1","No","150510","399077","2017-10-17 14:06:45","3701"
"A3Q5M94UVWYTLS
","caus_thomas_fire_v6","35LDD5557A56D3NOF8GX0TCIDK6KMT","0","0","0","50%","100%","90%","English","1","1","1","1","No","104562","169538","2017-10-17 14:06:51","3702"
"A2G3G60TB7HCJE","caus_thomas_fire_v6","35H6S234SA116HHTL55A98WEQUW65K","0","0","0","50%","100%","90%","Math","1","1","1","1","No","68571","121413","2017-10-17 14:06:59","3703"
"A1YBX7P5PY8LL","caus_thomas_fire_v6","33F859I566EJSMIJIYNR9LLW94XHBW","0","0","0","50%","100%","90%","Math","1","1","1","1","No","212953","306868","2017-10-17 14:07:03","3704"
"A1YX741QQSMKPS","caus_thomas_fire_v6","39K0FND3AHG01QE23H386F9M88CMAG","0","0","0","50%","100%","10%","Math","1","1","1","1","Yes","60047","106959","2017-10-17 14:07:19","3705"
"A23WT7XWIML8KH","caus_thomas_fire_v6","39GXDJN2OTF58PFWKBKLXKM49DN8VE","0","0","0","25%","25%","10%","English","0","0","1","1","No","202534","347392","2017-10-17 14:07:31","3706"
"ATD9IHXHMQURL
","caus_thomas_fire_v6","3R5F3LQFV2LP217MSPYKFCP0CTYOZY","0","0","0","50%","100%","90%","English","1","1","1","1","No","57206","100211","2017-10-17 14:07:33","3707"
"A1OSRB1Q63XXWZ
","caus_thomas_fire_v6","3EJPLAJKEMHZDV1ISTCQYC39RT36ZQ","0","0","0","100%","100%","90%","English","0","1","1","1","Not sure","302258","359669","2017-10-17 14:07:41","3708"
"A18M1IAKPX9XQT","caus_thomas_fire_v6","31QTRG6Q2TE7IB9IB39GQ5LOG4QYPY","0","0","0","50%","100%","10%","English","1","1","1","1","Yes","64362","102994","2017-10-17 14:07:47","3709"
"A3I80PHEY97LSK","caus_thomas_fire_v6","3B4YI393V9X7ZHD14ELL3O2YM31SSU","0","0","0","50%","100%","10%","English","1","1","1","1","No","90876","150006","2017-10-17 14:08:01","3710"
"A2DW36EW5ZH9UB","caus_thomas_fire_v6","32XVDSJFPZYBWNJYQ2AT0XQOWKKM29","0","0","0","50%","100%","90%","Math","1","1","1","1","No","99741","153606","2017-10-17 14:08:04","3711"
"AQK264KI4XVXV","caus_thomas_fire_v6","3N2BF7Y2VQVFBDMG9ND0N1WQL32MHR","0","0","0","50%","100%","10%","English","1","1","1","1","No","65234","102397","2017-10-17 14:08:04","3712"
"A2NZRP8PKTV4P3","caus_thomas_fire_v6","3E47SOBEYQX2YML92G17KHSTR2ECIT","0","0","0","50%","100%","90%","English","1","1","1","1","Not sure","46015","76708","2017-10-17 14:08:05","3713"
"A32F3RIIJB9VER","caus_thomas_fire_v6","33L7PJKHCGZQVXB7FGK6W2YJCS8T8K","0","0","0","50%","100%","10%","Math","1","1","1","1","No","68482","120978","2017-10-17 14:08:05","3714"
"A3W0V0P5VMKQM4","caus_thomas_fire_v6","3A1COHJ8NJW0QOKCFM3HIJVV1YD8HP","0","0","0","50%","100%","90%","English","1","1","1","1","No","138422","201076","2017-10-17 14:08:08","3715"
"A3BGORP58P2F7Q
","caus_thomas_fire_v6","30OG32W0SUC99LGEVNKUFDODYDKEN3","0","0","0","50%","100%","90%","English","1","1","1","1","No","70741","107756","2017-10-17 14:08:11","3716"
"AA3R1CNZAEH2O","caus_thomas_fire_v6","3HUTX6F6VUOZWQ4A3IP6S1FTRKXO2O","0","0","0","50%","100%","10%","English","1","1","1","1","No","63223","105237","2017-10-17 14:08:21","3717"
"A13M79DZ3D0ONV","caus_thomas_fire_v6","358010RM5EUVNQG4SJWDDJ3X0MWVX9","0","0","0","50%","100%","10%","Math","1","1","1","1","No","86387","134483","2017-10-17 14:08:27","3718"
" AGBQZMJH45BNU","caus_thomas_fire_v6","3ATPCQ38J8B0V73GMKRJ0AWTHIQYAI","0","0","0","100%","100%","100%","English","0","1","0","0","No","116991","146735","2017-10-17 14:08:35","3719"
"A1T3ROSW2LC4FG","caus_thomas_fire_v6","3KIBXJ1WD5VUD680SOVASX1N8KLKO8","0","0","0","50%","100%","10%","English","1","1","1","1","No","33713","72294","2017-10-17 14:08:36","3720"
"A3UVZZSK15KNPK","caus_thomas_fire_v6","39ZSFO5CA8XUFRMF6P77QOTZBH7JUJ","0","0","0","50%","100%","10%","English","1","1","1","1","No","108174","138671","2017-10-17 14:08:40","3721"
"A10OUK3W46D5SO","caus_thomas_fire_v6","3UNH76FOCS61X8C5JNHO91RTBZFYM2","0","0","0","50%","100%","10%","English","1","1","1","1","No","88292","139913","2017-10-17 14:08:42","3722"
"A2NAKIXS3DVGAA","caus_thomas_fire_v6","3GDTJDAPVUCMI2LN6JJUAO3RIKB8MX","0","0","0","50%","100%","90%","English","1","1","1","1","Not sure","30673","49402","2017-10-17 14:09:01","3723"
"ANPCXN619ACW9","caus_thomas_fire_v6","3EF8EXOTT1WE6UVH41XNFMO20KA1J2","0","0","0","50%","100%","90%","English","1","1","1","1","No","65701","102470","2017-10-17 14:09:03","3724"
"A376YLNVO87MLZ
","caus_thomas_fire_v6","32EYX73OY0ABDF5SEUGGSFFQLY3RUL","0","0","0","100%","100%","10%","English","0","1","1","1","No","78070","135643","2017-10-17 14:09:05","3725"
"A13WGYF2UCOOMJ","caus_thomas_fire_v6","3K5TEWLKGVCYXVR9TXWCA9GIC9SVI9","0","0","0","25%","100%","10%","English","0","1","1","1","No","152442","182067","2017-10-17 14:09:05","3726"
"ATAHQP6QL09TX","caus_thomas_fire_v6","34Q075JO1XE74OUVITNHXH961B501V","0","0","0","50%","25%","10%","English","1","0","0","1","No","108361","132247","2017-10-17 14:09:17","3727"
"A3ELX6YO1E7J11
","caus_thomas_fire_v6","34Q075JO1XE74OUVITNHXH961B610X","0","0","0","50%","100%","90%","English","1","1","1","1","No","121589","184955","2017-10-17 14:09:17","3728"
"a2zx7580nvwa61","caus_thomas_fire_v6","31UV0MXWNQDHZ1CUN6EZ6BMJZLS5IE","0","0","0","100%","75%","90%","English","0","0","1","0","No","36257","70262","2017-10-17 14:09:22","3729"
"A1IWRYUOVXAB0Z","caus_thomas_fire_v6","3L70J4KAZGNXXW8PQO45NPMSZULADN","0","0","0","50%","100%","90%","Math","1","1","1","1","Yes","48209","83325","2017-10-17 14:09:23","3730"
"AFH0174LHAHMQ","caus_thomas_fire_v6","30IQTZXKAK7FUPFOPM8OSQD76QL0XO","0","0","0","50%","100%","10%","English","1","1","1","1","No","107158","172097","2017-10-17 14:09:29","3731"
"A2XVL0RNQMWI17","caus_thomas_fire_v6","35BLDD71I6YKSLGJT1KYA4J88MVZVB","0","0","0","25%","100%","10%","English","0","1","1","1","No","59245","105058","2017-10-17 14:09:33","3732"
"A2QR0C2XFOT2KM","caus_thomas_fire_v6","3KJYX6QCM9CUS6BFBFHCMAVIPOHVJL","0","0","0","50%","100%","10%","Math","1","1","1","1","No","449295","581744","2017-10-17 14:09:36","3733"
"A2868HFLIU4V0C","caus_thomas_fire_v6","3CP1TO84PT2DOGYSY3T7JVF2APV250","0","0","0","50%","100%","90%","Math","1","1","1","1","No","57471","103984","2017-10-17 14:09:44","3734"
"A11A4KL9D0379R","caus_thomas_fire_v6","3CTOC39K37RSHGAJTHEWGWFF36BJ7I","0","0","0","50%","100%","10%","Math","1","1","1","1","Yes","141652","222868","2017-10-17 14:09:47","3735"
"AJK9E6YAWAZVT","caus_thomas_fire_v6","3WETL7AQWT929YUB237C25KUG3V35C","0","0","0","50%","100%","90%","English","1","1","1","1","No","36479","70486","2017-10-17 14:09:48","3736"
"A3JGW4RGO86NPX","caus_thomas_fire_v6","3TS1AR6UQQFCCEONARNB1YNNAZV7F4","0","0","0","50%","100%","90%","English","1","1","1","1","No","84576","135889","2017-10-17 14:09:54","3737"
"A18J8M1SGIW7XL","caus_thomas_fire_v6","358010RM5EUVNQG4SJWDDJ3X0MXXVC","0","0","0","50%","100%","90%","English","1","1","1","1","No","42775","86528","2017-10-17 14:10:01","3738"
"A2HOJ0B5A8DJVL","caus_thomas_fire_v6","3WJEQKOXA83351SDAVKAMNLJAXIA1X","0","0","0","50%","100%","90%","English","1","1","1","1","No","76364","130059","2017-10-17 14:10:04","3739"
"AOY7MRZ8IJNAZ","caus_thomas_fire_v6","3EFE17QCRC6I98ZLTK9MZAVWDSKSH9","0","0","0","50%","100%","90%","Math","1","1","1","1","No","98315","164595","2017-10-17 14:10:23","3740"
"A21KXWKFWGBCZ3","caus_thomas_fire_v6","3VE8AYVF8MYGCST6KWFHFYJILJ18FS","0","0","0","50%","100%","10%","Math","1","1","1","1","No","58558","97020","2017-10-17 14:10:27","3741"
"A36CZ0F88ELFWF","caus_thomas_fire_v6","3U4J9857OECMZXC75P1FI8W2V13B7Q","0","0","0","50%","100%","90%","Math","1","1","1","1","Not sure","60450","104136","2017-10-17 14:10:28","3742"
"AQL960O0LTRI8","caus_thomas_fire_v6","3ATTHHXXWAPQ1KW4TCXUYUD3SK1XIF","0","0","0","50%","100%","90%","English","1","1","1","1","No","44876","93159","2017-10-17 14:10:33","3743"
"A39OBMGPC1917V","caus_thomas_fire_v6","33LKR6A5KEL8KXRMGVBRHSBBYM11T7","0","0","0","50%","100%","90%","English","1","1","1","1","No","183995","243830","2017-10-17 14:10:35","3744"
"A3U306W3BPP0J6","caus_thomas_fire_v6","34FNN24DCMA3P1RZRO02SZG7P4P5YJ","0","0","0","50%","100%","90%","English","1","1","1","1","Not sure","106518","358851","2017-10-17 14:10:46","3745"
"A2QMHQXR8K4VJ2","caus_thomas_fire_v6","30OG32W0SUC99LGEVNKUFDODYDKNEC","0","0","0","50%","75%","10%","English","1","0","1","1","No","194937","206892","2017-10-17 14:11:01","3746"
"A3MXI2O3JZ0TZH","caus_thomas_fire_v6","3MRNMEIQW57ETFZTNFTVW323T6IDL6","0","0","0","50%","100%","90%","English","1","1","1","1","No","67866","88743","2017-10-17 14:11:02","3747"
"A1S3VIOXMGN0QN","caus_thomas_fire_v6","3RJSC4XJ10V6S6VEJGPT07MNDRB50J","0","0","0","50%","100%","10%","Math","1","1","1","1","No","92300","189248","2017-10-17 14:11:13","3748"
"A1P14RA5FX3HPD","caus_thomas_fire_v6","3VNL7UK1XFKZACLUNUQC6UF5ZWMFTO","0","0","0","50%","100%","10%","English","1","1","1","1","Yes","93956","132534","2017-10-17 14:11:21","3749"
"A3CCF8NBJTJUCB","caus_thomas_fire_v6","34J10VATJFZ6SNVS7Y224MHAVHFIQ4","0","0","0","50%","100%","90%","English","1","1","1","1","Yes","44495","78097","2017-10-17 14:11:22","3750"
"AJ3CE3PZMTP6","caus_thomas_fire_v6","31JLPPHS2UVOH80T7I3BBBKLXY03OH","0","0","0","50%","100%","90%","Math","1","1","1","1","No","55846","94117","2017-10-17 14:11:33","3751"
"A1ST4RTOTHAKMY","caus_thomas_fire_v6","3P529IW9KYMBRZDPELOLK35O5J0LFR","0","0","0","50%","100%","10%","English","1","1","1","1","Not sure","46319","83489","2017-10-17 14:11:42","3752"
"A2C6KUVF0FAIY8","caus_thomas_fire_v6","3RRCEFRB7MDPGAUO3R38FWCS4ZDB46","0","0","0","50%","25%","10%","English","1","0","1","1","Not sure","106805","191990","2017-10-17 14:11:46","3753"
"ADOE9L4WMP55F","caus_thomas_fire_v6","3PXX5PX6LXZ4IZA5CSDZSZYSW99BAH","0","0","0","50%","100%","90%","English","1","1","1","1","No","100491","167332","2017-10-17 14:11:51","3754"
"A2DPKKEEW2I6QK","caus_thomas_fire_v6","340UGXU9DY236MM9NELQTC4T64EVUG","0","0","0","50%","50%","10%","English","1","0","0","1","No","21517","34976","2017-10-17 14:11:53","3755"
"A3FTNTPAOI5C0G","caus_thomas_fire_v6","3X08E93BHVJXPLH7QOFF1EAEMP8661","0","0","0","50%","100%","90%","Math","1","1","1","1","No","72533","160167","2017-10-17 14:11:53","3756"
"A2WCYILM19VQEW","caus_thomas_fire_v6","3MTMREQS4VJW628G7J9VFDBD6APWAG","0","0","0","75%","50%","100%","Math","0","0","0","1","No","99969","152780","2017-10-17 14:11:55","3757"
"A2H6RIWM50KWA4","caus_thomas_fire_v6","3EA3QWIZ4IWJK3NKO2WX9RSXFOEITI","0","0","0","50%","100%","90%","English","1","1","1","1","No","77597","123688","2017-10-17 14:11:57","3758"
"A2MFMT03E21ZIT","caus_thomas_fire_v6","3R8YZBNQ9HJ933EWO7Y5DXR1H147QY","0","0","0","50%","100%","10%","Math","1","1","1","1","No","56197","96065","2017-10-17 14:12:04","3759"
"A2K9N9ZEJK81XZ","caus_thomas_fire_v6","34Z02EIMISE8D864KC7R3NS1TUX0T5","0","0","0","25%","100%","90%","English","0","1","1","0","No","129066","184764","2017-10-17 14:12:12","3760"
"A2E746SZEOVYXS","caus_thomas_fire_v6","3WOKGM4L71HS0G1WOVLS9DMEUMGO07","0","0","0","50%","100%","90%","Math","1","1","1","1","No","90753","141498","2017-10-17 14:12:15","3761"
"A1MM8TSLCHVMNK","caus_thomas_fire_v6","3X66WABAJWJ0PVJVJZQ362BJ6C93GU","0","0","0","50%","100%","10%","English","1","1","1","1","No","124277","153376","2017-10-17 14:12:16","3762"
"AIC05ZT6F4AGF","caus_thomas_fire_v6","37FMASSAYCSJOHT3OG5C9XMB9HEBIL","0","0","0","50%","100%","10%","Math","1","1","1","1","No","100445","167409","2017-10-17 14:12:20","3763"
"A2QGXC0QI17CT0","caus_thomas_fire_v6","3VA45EW49NOS75MEKEPSNI5OZEMO1A","0","0","0","25%","100%","10%","English","0","1","1","1","No","66793","123976","2017-10-17 14:12:23","3764"
"A14L7ICRNLCAQY","caus_thomas_fire_v6","3JV9LGBJWTFPBKCH2XAVU59U135GO2","0","0","0","50%","100%","90%","English","1","1","1","1","No","88526","136487","2017-10-17 14:12:27","3765"
"A1Q2LJQG0TWBWC","caus_thomas_fire_v6","3M0NZ3JDP1Z3UR14NA2L66P9VYU5ZB","0","0","0","50%","100%","90%","English","1","1","1","1","Not sure","103950","185531","2017-10-17 14:12:28","3766"
"A3AY059NMP3VIZ","caus_thomas_fire_v6","3Z2R0DQ0JHFDKZRL94MANPLFNITE2C","0","0","0","50%","100%","10%","Math","1","1","1","1","Yes","180754","382253","2017-10-17 14:12:31","3767"
"A2JEMCGIO2SROI","caus_thomas_fire_v6","33IZTU6J812FVYZ0YOR82WJQ1I2SX1","0","0","0","50%","100%","90%","English","1","1","1","1","No","31111","57803","2017-10-17 14:12:32","3768"
"ALDQRWYZ8KQ9A","caus_thomas_fire_v6","3RKNTXVS3MZKX0PWXD3CKLSMMHR4A3","0","0","0","50%","100%","90%","English","1","1","1","1","Yes","78200","125802","2017-10-17 14:12:36","3769"
"A3D2DCU3KKUEXF","caus_thomas_fire_v6","39KFRKBFINWPXBXHW3W115GY6ZVYOI","0","0","0","50%","100%","10%","English","1","1","1","1","No","64431","96347","2017-10-17 14:12:37","3770"
" A1W36Q5THCHYUZ","caus_thomas_fire_v6","3QHK8ZVMIMJLEI199J2P1DE3QL8BLZ","0","0","0","50%","25%","10%","English","1","0","1","1","No","92442","161050","2017-10-17 14:12:44","3771"
"A3MPRLOQP8D3DL","caus_thomas_fire_v6","3KWTYT08704JP2K089BCYREBGPM5LS","0","0","0","50%","100%","10%","Math","1","1","1","1","No","90987","138826","2017-10-17 14:13:11","3772"
"APX8K8QJ8LV2L","caus_thomas_fire_v6","3R8YZBNQ9HJ933EWO7Y5DXR1H127QW","0","0","0","50%","100%","90%","English","1","1","1","1","No","810833","875620","2017-10-17 14:13:11","3773"
"A1C1O9YVEWXL6E","caus_thomas_fire_v6","3300DTYQT2IUCIT6BFCBJ7JI3O8EQR","0","0","0","50%","100%","90%","English","1","1","1","1","No","80925","144238","2017-10-17 14:13:13","3774"
"A19JJ2RIRTWJOT","caus_thomas_fire_v6","3QJOXOW4XJS3R3VEJM5U2YZDTNAEM3","0","0","0","50%","100%","10%","English","1","1","1","1","No","69868","101178","2017-10-17 14:13:25","3775"
"A1CRD463RZUEXE","caus_thomas_fire_v6","38SKSKU7R1YV1QFFFTU6N0IGLBSLII","0","0","0","50%","50%","50%","Math","1","0","0","1","No","72744","131493","2017-10-17 14:13:25","3776"
"A16MDZ7O8KL9EC","caus_thomas_fire_v6","3WEV0KO0OMT1XSUJ7OQW8PGYL0RDSL","0","0","0","50%","100%","90%","English","1","1","1","1","No","355544","484728","2017-10-17 14:13:35","3777"
"AS2WTWYVRW9BV
","caus_thomas_fire_v6","3NPFYT4IZC5C5TQ93OXRDI0ND77XGL","0","0","0","50%","100%","10%","Math","1","1","1","1","No","159303","195131","2017-10-17 14:13:38","3778"
"A3DKKDV1WEZLYF","caus_thomas_fire_v6","3KGTPGBS6XMU9VO7Z41FR77I96P2UJ","0","0","0","50%","100%","10%","English","1","1","1","1","Yes","56943","102233","2017-10-17 14:13:38","3779"
"A39O4J8O2IGQYR","caus_thomas_fire_v6","3FE2ERCCZX9VOX5G5G0IOENM2USOPE","0","0","0","25%","100%","10%","Math","0","1","1","1","No","77560","134871","2017-10-17 14:13:40","3780"
"A2U3723LKNMHAI","caus_thomas_fire_v6","3Z3ZLGNNSIVR2KD9MVVF0GFLCZH3QO","0","0","0","50%","100%","10%","Math","1","1","1","1","Not sure","64074","114958","2017-10-17 14:13:49","3781"
"A3UT2JWMNH5S3V","caus_thomas_fire_v6","3QY5DC2MXRLEAP0JNZGMBQ17IATUFU","0","0","0","25%","100%","10%","Math","0","1","1","1","No","65001","126790","2017-10-17 14:13:50","3782"
"A1B65EVDS55AME","caus_thomas_fire_v6","37QW5D2ZRGNPGXYSQGFGMX2XA9VS8V","0","0","0","25%","100%","10%","Math","0","1","1","1","No","43781","87158","2017-10-17 14:13:54","3783"
"A1VR2CCCVMXKR6","caus_thomas_fire_v6","3TPZPLC3M0D628CUMIGQ0BPB73WP3K","0","0","0","50%","100%","90%","Math","1","1","1","1","Not sure","108680","158876","2017-10-17 14:14:00","3784"
"A2KRPK3GQR0GA9
","caus_thomas_fire_v6","3GS6S824SQY3QL25GNE01JVD5HQWN2","0","0","0","50%","100%","10%","Math","1","1","1","1","No","79950","148805","2017-10-17 14:14:01","3785"
"A108W7J8TZMI8G
","caus_thomas_fire_v6","3DHE4R9OCWCB4DNCFZCYNS6R0Y92GI","0","0","0","50%","100%","10%","Math","1","1","1","1","Yes","158234","211237","2017-10-17 14:14:06","3786"
"A248LF7KKHXZ14","caus_thomas_fire_v6","3M68NM076H8QB4FRICIDC91AICL6RY","0","0","0","50%","100%","10%","English","1","1","1","1","No","45745","85075","2017-10-17 14:14:33","3787"
"A1TJHPB2Z8IOEJ","caus_thomas_fire_v6","35LDD5557A56D3NOF8GX0TCIDK7KMU","0","0","0","50%","100%","10%","Math","1","1","1","1","Yes","116031","207056","2017-10-17 14:14:35","3788"
"A3L49Y0QOFKHPP","caus_thomas_fire_v6","3NG53N1RLVKS35I0YZBMRSXMNPP8PW","0","0","0","50%","100%","90%","English","1","1","1","1","No","55085","98171","2017-10-17 14:14:36","3789"
"A2TBXASXZIRNNW","caus_thomas_fire_v6","3OONKJ5DKCKTK346MBIHTUIXLQAOBQ","0","0","0","50%","100%","90%","English","1","1","1","1","Not sure","80235","114057","2017-10-17 14:14:39","3790"
"A6JFRB432NWIX","caus_thomas_fire_v6","3OS4RQUCR9GZEQRDN8ZR609JTPMBFU","0","0","0","50%","100%","10%","Math","1","1","1","1","No","279760","314536","2017-10-17 14:14:40","3791"
"A1I4VM94N3EM0W","caus_thomas_fire_v6","33PPUNGG386SZEZ2KHFO97U5NGJRZB","0","0","0","50%","100%","10%","Math","1","1","1","1","No","118320","171362","2017-10-17 14:14:47","3792"
"ABL3H3O3BI8ZD","caus_thomas_fire_v6","3R0T90IZ1SDO2VFECS14Z5FDCPMGC5","0","0","0","50%","100%","90%","Math","1","1","0","1","No","69463","92776","2017-10-17 14:14:48","3793"
"A3D00DSZUSDSQS","caus_thomas_fire_v6","3ZWFC4W1UU8MUX82J5LH6FENBBPRFN","0","0","0","50%","100%","90%","English","1","1","0","1","No","96023","158127","2017-10-17 14:14:51","3794"
"A2WLGVXAVT2XTR","caus_thomas_fire_v6","35DR22AR5DLBBHEL89Q7UOBE922X3D","0","0","0","50%","50%","50%","Math","1","0","0","1","No","126019","189089","2017-10-17 14:14:53","3795"
"A1HN4550TIXQBZ","caus_thomas_fire_v6","3U8YCDAGXPHVLSEC38DWYIHE9NXQ0G","0","0","0","50%","100%","10%","Math","1","1","1","1","No","47091","128259","2017-10-17 14:15:11","3796"
"A2A27TLFWKDXUW","caus_thomas_fire_v6","3OVR4I9USPKCKGWDM90YAL7RQZEQ4X","0","0","0","50%","100%","10%","Math","1","1","1","1","Not sure","82107","142598","2017-10-17 14:15:19","3797"
"A25894CV44ZZ0V","caus_thomas_fire_v6","33F859I566EJSMIJIYNR9LLW940BHT","0","0","0","50%","100%","10%","English","1","1","1","1","No","47859","77429","2017-10-17 14:15:19","3798"
"A2XFO0X6RCS98M","caus_thomas_fire_v6","38BQUHLA9W1P3U83D08Q7ATRXPEMOD","0","0","0","50%","100%","10%","Math","1","1","1","1","No","68276","95337","2017-10-17 14:15:20","3799"
" A16184N1RO5OJV
","caus_thomas_fire_v6","3OLF68YTN92UVGMLHUZVBPPDB72AFZ","0","0","0","50%","100%","90%","Math","1","1","1","1","Yes","67675","138861","2017-10-17 14:15:21","3800"
"ANJ9V1S2RYOE8","caus_thomas_fire_v6","3HL8HNGX452GQXCGPOLVFUET5PK9FJ","0","0","0","50%","100%","90%","Math","1","1","1","1","No","88120","157141","2017-10-17 14:15:21","3801"
"A1TARNH07A75CG","caus_thomas_fire_v6","3X31TUMD7XNK1KJH7M90V11U49F1L4","0","0","0","50%","100%","90%","Math","1","1","1","1","No","26674","48657","2017-10-17 14:15:22","3802"
"AEZ64TVDZQOU6","caus_thomas_fire_v6","3TPZPLC3M0D628CUMIGQ0BPB73W3PY","0","0","0","50%","100%","10%","English","1","1","1","1","Not sure","524556","559639","2017-10-17 14:15:24","3803"
"A2OSXVGQUR6IL6","caus_thomas_fire_v6","36ZN444YTRZ37BICSLAYFHMAGGYOI3","0","0","0","50%","100%","10%","Math","1","1","1","0","No","58070","102287","2017-10-17 14:15:43","3804"
"A3P0P0DRSOX52W","caus_thomas_fire_v6","3OS4RQUCR9GZEQRDN8ZR609JTPNBFV","0","0","0","100%","100%","10%","Math","0","1","1","1","No","51197","113195","2017-10-17 14:15:46","3805"
